性别,大学,入学年,J值
M,西华大学,2017,2131
F,四川信息职业技术学院,2016,476
M,广西师范大学,2016,398
M,西藏民族大学,2015,74
M,广西卫生职业技术学院,2017,108
M,广西师范大学,2017,478
M,广西师范大学,2017,261
M,兰州理工大学,2017,1004
M,贵州民族大学,2017,66
M,成都航空职业技术学院,2017,1981
M,承德石油高等专科学校,2017,23
M,云南大学,2016,20
M,阿坝师范学院,2017,68
M,兰州理工大学,2016,344
M,顺德职业技术学院,2017,279
M,广西师范大学,2017,160
M,浙江理工大学,2017,44
F,广西师范大学,2017,109
F,广西师范大学,2014,639
M,四川信息职业技术学院,2017,290
F,广西师范大学,2017,515
M,长春大学,2017,4
F,广西师范大学,2016,953
M,桂林理工大学,2016,246
F,广西农业职业技术学院,2016,280
M,广西师范大学,2017,617
F,石河子大学,2017,182
F,西藏民族大学,2015,88
M,广西师范大学,2016,644
M,兰州理工大学,2016,481
M,广东科学技术职业学院,2016,48
M,四川信息职业技术学院,2017,66
F,广西农业职业技术学院,2016,364
M,玉林师范学院,2017,85
M,河源职业技术学院,2017,148
M,遵义职业技术学院,2017,7
F,广西师范学院,2016,1573
F,桂林理工大学,2016,1282
M,内蒙古化工职业学院,2016,28
F,桂林理工大学,2016,754
F,广西师范大学,2016,644
M,贵州民族大学,2017,128
M,广西师范大学,2017,58
M,桂林理工大学,2015,451
M,四川信息职业技术学院,2017,202
M,柳州城市职业学院,2017,36
M,广西中医药大学赛恩斯新医药学院,2017,880
M,广西科技大学,2015,210
M,贵州理工学院,2016,313
F,广西中医药大学赛恩斯新医药学院,2016,3669
F,广西师范大学,2016,1006
M,福建师范大学协和学院,2015,30
F,包头师范学院,2016,20
F,兰州理工大学,2017,47
M,湖南财政经济学院,2015,123
M,广西师范大学,2016,2044
M,毕节医学高等专科学校,2017,448
M,四川化工职业技术学院,2016,251
M,广西农业职业技术学院,2016,2326
F,湖南中医药大学,2016,239
M,贵州民族大学,2017,98
M,四川化工职业技术学院,2017,274
F,广西师范大学,2015,299
M,湘南学院,2017,346
F,广西师范大学,2017,389
F,绵阳师范学院,2016,121
F,广西师范学院,2016,237
M,陕西学前师范学院,2017,50
M,河源职业技术学院,2017,1301
F,石河子大学,2017,1055
M,广西师范大学,2016,373
M,遵义医药高等专科学校,2017,60
F,包头钢铁职业技术学院,2017,56
M,承德石油高等专科学校,2017,18
M,桂林理工大学,2016,234
M,四川信息职业技术学院,2017,251
M,桂林理工大学,2015,499
F,贵州理工学院,2017,182
F,亳州学院,2017,749
M,广西师范大学,2016,315
M,湖南财政经济学院,2017,358
M,山东师范大学,2017,120
F,长沙民政职业技术学院,2017,334
M,塔里木大学,2014,50
F,大连交通大学,2017,36
M,广西师范大学,2017,156
F,广西师范大学,2017,365
F,曲靖师范学院,2017,82
M,山东师范大学,2017,126
M,广西幼儿师范高等专科学校,2017,35
F,广西中医药大学赛恩斯新医药学院,2016,337
F,广西师范大学,2016,1166
M,陕西科技大学,2015,1610
M,贵州工程应用技术学院,2017,205
M,贵阳中医学院,2017,83
M,广西师范大学,2016,354
F,广西师范大学,2017,341
F,山东师范大学,2017,247
M,石河子大学,2015,186
F,广西师范大学,2016,456
F,广西师范学院,2017,159
M,遵义医学院,2016,45
M,桂林理工大学,2017,152
M,广西师范大学,2017,264
M,四川化工职业技术学院,2016,381
M,长春大学,2015,24
M,成都农业科技职业学院,2017,716
F,兰州理工大学,2017,259
F,长春大学,2015,30
F,广西师范大学,2016,592
F,西华师范大学,2017,273
F,石河子大学,2017,267
F,广西师范大学,2016,290
F,桂林理工大学,2017,226
M,广西师范学院,2017,130
M,广西师范大学,2016,866
M,贵州工程应用技术学院,2017,58
M,山东师范大学,2017,108
M,四川信息职业技术学院,2016,385
M,大连交通大学,2014,4
M,浙江理工大学,2016,20
M,广西科技大学,2017,96
M,广西科技大学,2017,85
M,广西师范大学,2016,409
M,兰州理工大学,2015,182
M,广西师范学院,2017,164
M,西华师范大学,2017,268
M,四川信息职业技术学院,2017,401
M,四川信息职业技术学院,2016,2054
F,广西师范大学,2017,1150
F,广西师范大学,2016,523
F,广西师范大学,2016,343
F,广西师范大学,2016,514
M,广西师范学院,2017,248
M,广西国际商务职业技术学院,2017,41
M,广西师范大学,2017,1549
M,广西师范大学,2016,525
M,广西师范大学,2017,106
F,广西师范大学,2015,733
F,广西科技大学,2017,281
M,广西师范大学,2016,418
M,广西师范大学,2016,272
M,贵州工程应用技术学院,2017,120
M,贵州工程应用技术学院,2016,243
M,贵州工程应用技术学院,2016,4563
M,广西师范大学,2017,162
M,贵州理工学院,2015,98
M,山东师范大学,2017,135
M,广西师范大学,2017,524
F,山东师范大学,2016,215
M,广西师范学院,2017,80
M,亳州学院,2017,223
F,广西师范大学,2016,1228
F,桂林理工大学,2017,242
M,广东药科大学,2017,57
M,广西师范大学,2016,458
F,兰州理工大学,2017,171
M,桂林理工大学,2017,184
M,内蒙古化工职业学院,2017,530
F,亳州学院,2016,139
M,贵州工程应用技术学院,2017,106
M,贵州理工学院,2015,2851
M,广西电力职业技术学院,2017,238
M,桂林理工大学,2016,389
M,贵州理工学院,2017,77
F,广西师范大学,2016,565
M,西北工业大学,2016,264
M,广西师范大学,2014,452
M,兰州理工大学,2016,808
M,云南大学,2016,54
M,贵州工程应用技术学院,2016,2414
M,广西师范大学,2017,154
M,西北工业大学,2016,170
F,广西师范大学,2017,1763
F,广西师范大学,2017,1075
M,承德石油高等专科学校,2017,18
F,广西师范大学,2017,213
M,四川建筑职业技术学院,2017,98
F,贵州民族大学,2017,104
F,广西师范大学,2017,185
F,广西中医药大学赛恩斯新医药学院,2017,2230
F,广西师范大学,2015,370
M,广西师范大学,2017,243
F,东华大学,2017,303
M,贵州工程应用技术学院,2017,114
F,贵州工程应用技术学院,2017,230
F,西华师范大学,2017,182
M,福建工程学院,2000,13036
M,石河子大学,2017,214
M,山东理工大学,2016,341
M,广西交通职业技术学院,2017,68
F,广西农业职业技术学院,2017,204
F,广西师范大学,2016,255
F,广西农业职业技术学院,2017,364
M,贵州工程应用技术学院,2017,82
M,西华大学,2017,1739
M,石河子大学,2016,197
M,石河子大学,2017,178
F,石河子大学,2016,145
F,石河子大学,2016,246
M,石河子大学,2016,175
M,石河子大学,2017,191
M,石河子大学,2015,137
M,石河子大学,2017,177
M,石河子大学,2016,162
M,贵阳中医学院,2017,64
M,广西师范大学,2017,198
M,贵州理工学院,2017,226
M,武汉理工大学,2017,61
M,广西农业职业技术学院,2017,102
M,内蒙古大学,2016,189
M,成都农业科技职业学院,2017,727
M,广西农业职业技术学院,2017,125
M,西华大学,2017,1572
M,四川信息职业技术学院,2016,108
M,阿坝师范学院,2016,472
M,广西师范大学,2017,585
F,四川信息职业技术学院,2016,3737
M,广西师范大学,2014,260
M,四川信息职业技术学院,2016,374
M,成都工业学院,2017,152
F,陕西科技大学,2017,353
F,兰州理工大学,2016,583
F,沧州师范学院,2016,44
F,成都师范学院,2017,161
M,贵州理工学院,2016,38
M,广西民族大学,2017,751
M,贵州理工学院,2017,147
F,广西师范大学,2017,247
M,贵州民族大学,2017,84
F,广西师范大学,2015,284
F,山东师范大学,2017,272
M,贵州大学,2017,146
M,广西师范大学,2017,378
M,贵州理工学院,2017,264
F,广西农业职业技术学院,2017,156
M,广西师范大学,2015,1133
M,西华大学,2015,208
M,贵州城市职业学院,2016,12
M,四川信息职业技术学院,2016,171
F,广西农业职业技术学院,2017,236
M,兰州理工大学,2015,480
M,四川建筑职业技术学院,2017,120
M,桂林理工大学,2015,273
M,桂林理工大学,2016,284
M,广西农业职业技术学院,2017,80
M,广西交通职业技术学院,2016,44
F,广西民族大学,2017,193
F,广西农业职业技术学院,2017,36
M,成都理工大学,2016,298
M,河北科技大学,2016,76
F,广西科技大学鹿山学院,2016,360
M,贵州工程应用技术学院,2017,127
F,广西师范大学,2015,444
M,广西科技大学鹿山学院,2015,155
F,四川信息职业技术学院,2016,385
F,广东第二师范学院,2016,2853
M,广西农业职业技术学院,2016,268
M,石河子大学,2015,364
F,云南艺术学院,2016,50
M,广西幼儿师范高等专科学校,2017,146
M,桂林理工大学,2016,245
M,广西科技大学,2017,118
F,广西师范大学,2017,177
F,广西民族大学,2017,230
M,五邑大学,2017,183
F,广西师范大学,2014,163
M,广西交通职业技术学院,2017,74
M,唐山学院,2017,46
F,广西师范学院师园学院,2016,612
F,玉溪师范学院,2016,148
M,西华师范大学,2017,123
M,兰州理工大学,2016,542
M,安徽科技学院,2017,414
F,韶关学院,2016,349
M,山东理工大学,2016,86
M,浙江理工大学,2016,31
M,广西科技大学,2017,124
M,成都理工大学,2016,86
M,广西科技大学,2017,68
M,石河子大学,2015,53
M,石河子大学,2016,192
F,广西师范大学,2016,416
F,石河子大学,2016,305
M,西华师范大学,2017,129
M,桂林理工大学,2017,173
M,武汉商学院,2016,30
F,四川农业大学,2017,136
M,云南艺术学院,2017,18
M,桂林理工大学,2016,1408
F,广西师范大学,2016,1133
M,广西师范大学,2017,265
M,贵阳中医学院,2015,24
M,贵州理工学院,2015,196
M,云南民族大学,2016,16
F,河源职业技术学院,2017,10908
M,兰州理工大学,2017,437
M,石河子大学,2016,174
F,广西农业职业技术学院,2016,794
M,石河子大学,2015,232
F,长春中医药大学,2017,42
M,广西现代职业技术学院,2016,22
M,广西师范大学,2015,434
M,桂林理工大学,2017,98
M,广东药科大学,2017,55
M,桂林理工大学,2016,491
M,贵州民族大学,2017,124
F,广西民族大学,2016,263
M,黔南民族师范学院,2017,150
M,兰州理工大学,2017,1467
M,广西中医药大学赛恩斯新医药学院,2017,244
F,广西农业职业技术学院,2016,772
M,桂林理工大学,2015,88
F,广西民族大学,2017,156
M,贵州理工学院,2017,143
M,兰州理工大学,2017,525
M,广西电力职业技术学院,2017,162
M,承德石油高等专科学校,2018,85
M,哈尔滨师范大学,2015,8
M,广州中医药大学,2017,82
M,广西中医药大学赛恩斯新医药学院,2016,917
M,贵州理工学院,2016,180
M,哈尔滨师范大学,2017,5
F,陕西科技大学,2017,751
M,广西体育高等专科学校,2017,166
F,湖南财政经济学院,2017,208
F,广西幼儿师范高等专科学校,2017,99
F,陕西科技大学,2017,945
M,广西民族大学,2016,138
M,四川建筑职业技术学院,2017,88
M,广西民族大学,2016,230
M,承德石油高等专科学校,2017,4
M,广西民族大学,2016,115
M,山东理工大学,2017,522
M,龙岩学院,2017,71
F,成都农业科技职业学院,2017,109
M,云南财经大学,2017,42
M,成都工业职业技术学院,2017,65
M,内蒙古民族幼儿师范高等专科学校,2017,8
M,兰州理工大学,2016,688
M,内蒙古农业大学职业技术学院,2017,30
M,广西师范大学,2016,350
M,广东医科大学,2017,110
M,石河子大学,2015,111
M,西昌学院,2016,181
M,广西民族大学,2017,129
F,广西师范大学,2017,134
F,玉溪师范学院,2017,132
M,桂林理工大学,2017,145
M,兰州理工大学,2017,865
M,渭南师范学院,2016,522
F,怀化学院,2017,128
M,湖南商学院,2016,24
M,四川国际标榜职业学院,2017,40
F,河源职业技术学院,2015,374
F,广西民族大学,2017,991
M,广西民族大学,2017,50
M,武夷学院,2017,239
M,广西农业职业技术学院,2016,595
F,桂林医学院,2016,4438
M,承德石油高等专科学校,2017,778
F,德宏职业学院,2017,92
F,哈尔滨师范大学,2016,65
F,陕西科技大学,2016,497
F,福建师范大学协和学院,2017,111
M,广西民族大学,2017,79
M,西昌学院,2017,65
M,大连交通大学,2014,10
F,东华大学,2016,1259
F,广西民族大学,2015,160
M,兰州理工大学,2015,198
F,广西师范学院,2016,950
M,东华大学,2015,5190
M,东华大学,2018,34
M,广西民族大学,2016,142
M,东华大学,2017,2418
M,兰州理工大学,2016,313
M,兰州理工大学,2016,1412
M,桂林理工大学,2015,513
M,陕西科技大学,2016,1097
M,兰州理工大学,2017,205
M,广西国际商务职业技术学院,2016,96
M,河源职业技术学院,2017,105
M,兰州理工大学,2016,328
F,上海立信会计金融学院,2016,301
M,柳州职业技术学院,2017,817
M,内蒙古大学,2015,43
F,德宏职业学院,2017,50
M,青岛科技大学,2017,45
M,福建卫生职业技术学院,2017,446
M,泉州幼儿师范高等专科学校,2017,30
M,德宏职业学院,2017,6
M,包头师范学院,2017,22
M,贵州职业技术学院,2017,100
M,广西农业职业技术学院,2017,122
M,哈尔滨学院,2016,22
F,陕西科技大学,2015,836
M,陕西科技大学,2017,867
M,陕西科技大学,2017,456
M,陕西科技大学,2017,183
M,陕西科技大学,2017,241
M,陕西科技大学,2015,486
M,陕西科技大学,2015,318
M,陕西科技大学,2015,409
M,广西师范学院,2017,160
F,福建卫生职业技术学院,2017,232
F,河源职业技术学院,2017,166
M,东华大学,2016,7364
M,广西民族大学,2017,824
M,广西农业职业技术学院,2018,48
M,德宏职业学院,2017,6
M,广西农业职业技术学院,2016,490
M,安徽科技学院,2017,36
M,贵州理工学院,2016,125
M,广西科技大学鹿山学院,2017,110
M,桂林电子科技大学,2017,248
F,包头钢铁职业技术学院,2017,180
M,广西农业职业技术学院,2017,107
F,桂林理工大学,2017,138
M,贵州理工学院,2016,112
M,广西民族大学,2017,316
M,贵州理工学院,2015,148
F,莆田学院,2016,4025
M,佛山科学技术学院,2017,192
M,浙江理工大学,2016,45
M,青岛科技大学,2017,118
F,陕西科技大学,2016,438
M,内蒙古电子信息职业技术学院,2017,415
F,四川财经职业学院,2017,83
M,贵州理工学院,2015,212
M,广西农业职业技术学院,2015,38
M,成都航空职业技术学院,2016,1091
M,玉林师范学院,2015,400
M,德宏师范高等专科学校,2017,59
M,浙江理工大学,2016,26
F,东华大学,2017,707
F,东华大学,2016,1382
F,云南民族大学,2015,6
F,玉溪师范学院,2017,87
F,广西师范大学,2016,334
M,哈尔滨学院,2016,23
F,陕西科技大学,2013,636
M,贵州职业技术学院,2017,96
M,石河子大学,2015,137
M,云南大学,2015,8
M,广州工商学院,2009,30
M,桂林理工大学,2017,131
M,铜仁幼儿师范高等专科学校,2017,66
M,杭州电子科技大学,2017,44
M,贵州警察学院,2017,60
M,贵州大学,2017,70
M,哈尔滨师范大学,2016,7
M,广西体育高等专科学校,2017,82
M,长沙民政职业技术学院,2017,132
M,云南林业职业技术学院,2017,46
M,安徽医科大学,2016,6
M,东华大学,2018,34
F,右江民族医学院,2016,2546
M,柳州职业技术学院,2016,333
F,广西教育学院,2017,116
M,东华大学,2017,125
M,玉溪师范学院,2017,42
M,铜仁学院,2016,667
M,易班体验大学,2018,1204
M,云南机电职业技术学院,2016,38
M,西安航空学院,2017,22
F,桂林理工大学,2017,687
M,成都工业学院,2017,74
M,东莞理工学院城市学院,2017,14
M,贵州城市职业学院,2016,6
M,广东药科大学,2017,54
M,沈阳建筑大学,2017,22
M,广东药科大学,2017,31
M,山东师范大学,2017,72
M,河北建材职业技术学院,2016,10
M,亳州学院,2016,34
M,河北农业大学,2016,18
F,广西师范大学,2015,399
M,西北农林科技大学,2017,201
F,凯里学院,2017,119
F,西南科技大学,2017,137
M,西南石油大学,2015,4636
F,浙江理工大学,2017,28
M,湖南交通职业技术学院,2017,14
F,四川农业大学,2017,84
M,长春大学,2017,20
M,北海职业学院,2017,33
M,莆田学院,2017,2008
M,贵阳中医学院,2014,4
M,大连交通大学,2017,16
F,曲靖师范学院,2017,20
F,广西民族大学,2017,44
F,东华大学,2018,63
M,昆明理工大学,2017,289
