性别,大学,入学年,J值
M,广西师范大学,2017,202
F,广西师范大学,2017,207
M,云南艺术学院,2017,34
F,广西师范大学,2017,1089
M,福建医科大学,2017,129
M,呼伦贝尔学院,2017,41
M,西藏民族大学,2015,73
F,西南科技大学,2017,7541
M,柳州城市职业学院,2017,307
M,内蒙古化工职业学院,2017,207
M,西北农林科技大学,2016,305
M,西北农林科技大学,2015,595
M,西北农林科技大学,2016,431
M,西北农林科技大学,2017,284
M,贵州理工学院,2017,307
M,西北农林科技大学,2017,87
M,西北农林科技大学,2017,264
F,西北农林科技大学,2017,344
M,西北农林科技大学,2017,156
M,西北农林科技大学,2017,239
F,成都航空职业技术学院,2016,2914
M,西北农林科技大学,2016,267
M,青岛科技大学,2017,115
M,兰州理工大学,2017,567
M,西北农林科技大学,2017,209
M,广西师范大学,2017,255
M,广东药科大学,2017,86
M,西北农林科技大学,2016,447
F,广西民族大学,2017,106
F,广西师范大学,2014,453
M,桂林理工大学,2015,477
M,西北农林科技大学,2017,158
M,广西中医药大学赛恩斯新医药学院,2015,4113
M,厦门大学,2018,99
M,贵阳中医学院,2016,20
M,广西师范大学,2015,1061
M,四川建筑职业技术学院,2017,56
M,广西师范大学,2015,173
M,哈尔滨师范大学,2017,9
F,广州大学,2017,1095
F,亳州学院,2016,36
M,西北农林科技大学,2017,131
M,广西师范大学,2017,235
F,昆明学院,2014,899
M,梧州职业学院,2017,74
M,北京邮电大学,2016,253
M,广东药科大学,2016,68
F,广西师范大学,2017,213
F,山东师范大学,2017,554
M,西藏民族大学,2015,60
F,山东理工大学,2017,108
M,广西师范大学,2014,508
F,广西民族大学,2016,180
M,贵州民族大学,2017,26
M,内蒙古工业大学,2016,2
M,桂林理工大学,2016,265
M,四川信息职业技术学院,2016,1913
M,桂林理工大学,2017,103
M,福建工程学院,2016,591
M,云南民族大学,2017,20
M,佛山科学技术学院,2017,210
F,西北农林科技大学,2016,245
M,武汉商学院,2015,30
M,四川信息职业技术学院,2017,181
F,广西师范大学,2017,260
M,云南农业大学,2017,14
M,云南农业大学,2017,7
F,西北农林科技大学,2016,331
M,西华师范大学,2017,319
M,广东轻工职业技术学院,2016,347
M,贵州大学,2017,83
M,西北农林科技大学,2017,346
M,桂林理工大学,2016,340
M,贵州工程应用技术学院,2017,127
M,四川信息职业技术学院,2017,2069
M,西北工业大学,2016,775
M,贵州工程应用技术学院,2017,110
F,西华大学,2016,1909
F,广西农业职业技术学院,2017,654
M,山东理工大学,2017,3067
F,广西国际商务职业技术学院,2016,92
M,西北农林科技大学,2017,206
M,成都理工大学,2017,95
M,肇庆学院,2017,1553
F,西北农林科技大学,2017,297
F,贵州工程应用技术学院,2016,1081
F,广西师范大学,2016,694
M,贵州理工学院,2017,394
M,沧州师范学院,2016,6
M,桂林理工大学,2016,287
M,山东师范大学,2017,90
F,山东理工大学,2017,185
M,桂林电子科技大学,2015,2126
F,广西师范大学,2015,528
M,成都理工大学,2017,846
M,四川信息职业技术学院,2016,455
F,广西师范大学,2015,455
M,曲靖师范学院,2017,62
M,铜仁幼儿师范高等专科学校,2015,46
F,广西中医药大学赛恩斯新医药学院,2015,625
F,广西师范学院,2016,652
M,广西师范大学,2014,289
M,陕西科技大学,2017,2033
F,广西农业职业技术学院,2017,216
M,西北农林科技大学,2017,173
M,长春大学,2016,6
F,广西师范大学,2014,279
M,广西师范大学,2016,120
F,桂林理工大学,2017,218
F,四川建筑职业技术学院,2017,127
M,延安大学,2017,126
M,内蒙古电子信息职业技术学院,2017,86
F,陕西科技大学,2017,486
M,广西民族大学,2017,117
F,广西师范学院,2016,279
F,河池学院,2017,1931
F,广西师范学院,2017,259
M,广西经贸职业技术学院,2016,329
M,贵州民族大学,2017,48
M,石河子大学,2016,194
F,陕西科技大学,2017,311
M,石河子大学,2016,822
M,柳州职业技术学院,2017,1485
M,广西师范大学,2015,1011
M,石河子大学,2017,236
M,石河子大学,2016,241
F,石河子大学,2017,166
F,石河子大学,2016,302
F,石河子大学,2016,727
M,石河子大学,2015,119
M,贵州民族大学,2017,129
M,石河子大学,2015,127
F,石河子大学,2017,159
M,广西民族大学,2016,101
M,石河子大学,2017,412
M,广西师范大学,2017,616
M,石河子大学,2016,132
M,石河子大学,2017,220
F,石河子大学,2017,368
F,广西幼儿师范高等专科学校,2017,93
M,石河子大学,2017,244
F,石河子大学,2016,216
M,石河子大学,2017,219
M,云南农业大学,2017,4
M,石河子大学,2017,169
F,石河子大学,2017,158
M,贵州工程应用技术学院,2017,298
F,石河子大学,2017,251
M,石河子大学,2017,258
F,石河子大学,2016,250
F,石河子大学,2017,343
M,石河子大学,2017,227
M,石河子大学,2016,184
M,广西国际商务职业技术学院,2017,37
M,石河子大学,2017,227
M,石河子大学,2016,187
M,石河子大学,2016,231
M,石河子大学,2015,175
F,石河子大学,2015,182
M,石河子大学,2017,265
M,石河子大学,2016,180
M,石河子大学,2017,253
M,石河子大学,2017,239
M,石河子大学,2016,175
M,浙江理工大学,2015,22
M,贵州理工学院,2016,215
M,石河子大学,2015,206
F,石河子大学,2016,226
M,石河子大学,2015,103
M,石河子大学,2017,191
F,石河子大学,2016,244
M,石河子大学,2016,146
M,石河子大学,2015,124
M,贵州理工学院,2016,252
M,广西体育高等专科学校,2017,302
F,石河子大学,2017,263
M,石河子大学,2017,249
F,石河子大学,2016,301
M,石河子大学,2017,303
M,石河子大学,2017,270
M,亳州学院,2017,141
M,石河子大学,2017,194
M,石河子大学,2015,166
M,石河子大学,2015,148
M,桂林理工大学,2017,226
F,石河子大学,2016,373
M,柳州城市职业学院,2017,84
M,石河子大学,2015,100
M,石河子大学,2017,525
M,石河子大学,2016,360
F,贵阳中医学院,2017,128
M,石河子大学,2015,288
